Facility,Payment Date,Principal Amount,Notes
Term Loan A,15/06/2024,2000000,
Term Loan A,15/09/2024,2000000,
Term Loan A,15/12/2024,2000000,
Term Loan A,15/03/2025,2000000,
Term Loan A,15/06/2025,2000000,
Term Loan A,15/09/2025,2000000,
Term Loan A,15/12/2025,2000000,
Term Loan A,15/03/2026,2000000,
Term Loan A,15/06/2026,2000000,
Term Loan A,15/09/2026,2000000,
Term Loan A,15/12/2026,2000000,
Term Loan A,15/03/2027,2000000,
Term Loan A,15/06/2027,2000000,
Term Loan A,15/09/2027,2000000,
Term Loan A,15/12/2027,2000000,
Term Loan A,15/03/2028,2000000,
Term Loan A,15/06/2028,2000000,
Term Loan A,15/09/2028,2000000,
Term Loan A,15/12/2028,2000000,
Term Loan A,15/03/2029,2000000,
Equipment Finance,01/09/2026,840000,
Equipment Finance,01/09/2027,840000,
Equipment Finance,01/09/2028,840000,
Equipment Finance,01/09/2029,840000,
Equipment Finance,01/09/2030,840000,
