supplier_id,name,aliases,country,iban,account_number,bic,vat_number,domain,first_seen,last_seen,invoice_count
acme,Acme Ltd,,GB,GB42FCTB40051512345678,,FCTBGB22,GB245566778,,2023-11-02,2026-07-04,32
brindlemere,Brindlemere Logistics Ltd,,GB,GB45WNTM60071145566778,,WNTMGB21,GB556677889,,2025-01-09,2026-07-06,19
corvidwren,Corvid & Wren Packaging Ltd,,GB,GB35FCTB40051598765432,,FCTBGB22,GB667788990,,2024-06-21,2026-07-08,14
dellingr,Dellingr Praezisionstechnik GmbH,,DE,DE60500400000123456789,,VKBADEFF,DE812345678,,2023-09-03,2026-07-12,24
fenwickvane,Fenwick & Vane Insurance Brokers Ltd,,GB,GB64FCTB40051577223344,,FCTBGB22,GB778899001,,2022-04-01,2026-07-01,51
greenslade,Greenslade Industrial Cleaning Ltd,,GB,GB02MRWF51223311224455,,MRWFGB2L,GB889900112,,2024-11-14,2026-07-14,9
hallowpoint,Hallow Point Software Inc,,US,,4471002238,CTMBUS33,,hallowpointsoftware.com,2024-08-01,2026-07-01,24
ilkeston,Ilkeston Freight & Warehousing Ltd,,GB,GB83MRWF51223367889912,,MRWFGB2L,GB334455667,ilkeston-freight.co.uk,2024-02-18,2026-07-11,29
journeaux,Journeaux Freres Emballages SARL,,FR,FR7612345987650123456789014,,ONDIFRPP,FR32123456789,,2023-03-22,2026-07-19,22
kesterholt,Kesterholt Office Supplies Ltd,,GB,GB91FCTB40051566001122,,FCTBGB22,GB990011223,,2022-10-11,2026-07-21,46
linthorpe,Linthorpe Waste Management B.V.,,NL,NL33MOLB0123456789,,MOLBNL2A,NL123456789B01,,2024-04-05,2026-07-25,16
ossington,Ossington Valve Works Ltd,,GB,GB82MRWF51223344556677,,MRWFGB2L,GB223344556,,2023-07-08,2026-07-07,27
pemberton,Pemberton Cladding & Roofing Ltd,,GB,GB50MRWF51223399001122,,MRWFGB2L,GB667990011,,2024-09-30,2026-06-02,6
quillon,Quillon Fabrication Services Ltd,,GB,GB53WNTM60071122334455,,WNTMGB21,GB001122334,,2025-05-19,2026-07-15,3
